job_position,company,max_salary,location,status,date_saved
"Product Support Analyst","Liquidnet, Inc.","105000","New York","Bookmarked","04/07/2026"
"Production Support Analyst","hackajob","120000","New York, NY","Bookmarked","04/24/2026"
"Business Operations Specialist","Wisp","135000","United States","Bookmarked","04/05/2026"
"Business Analyst, Global Retail Technology","The Estée Lauder Companies Inc.","107250","New York, NY","Applied","03/23/2026"
"Staff Product Operations Specialist","Accrete","0","New York, NY","Bookmarked","04/01/2026"
"Application and Production Support Lead, Assistant Vice President","Citi","163680","New York, NY","Applied","04/01/2026"
"Analyst/Senior Analyst, Business Operations & Strategy (Remote - Eastern Region)","Yelp, Inc","130000","","Bookmarked","04/06/2026"
"Product Operations Associate","EvenUp","187602","United States","Bookmarked","04/06/2026"
"Electronic Trading Support Engineer","Hudson River Trading","150000","New York, NY","Bookmarked","04/24/2026"
"Business Analyst, Support Operations","Pinnacle Method Consulting","124000","United States","Bookmarked","04/06/2026"
"Business Analyst, Banking Transactions","BIP","140000","Jersey City, NJ","Applied","03/23/2026"
"Sr. Business Analyst- Bilingual (Korean and English)","Woongjin, Inc","105000","Ridgefield Park, NJ","Applied","03/18/2026"
"Jr. Operations Engineer","Robert Half","0","New York, NY","Bookmarked","04/22/2026"
"Lead Business Analyst / Analyste Commercial Principal","Insurity","150000","","Bookmarked","03/18/2026"
"Analyst II, Systems Operations","Intercontinental Exchange Holdings, Inc.","97900","New York, New York, United States","Bookmarked","04/07/2026"
"Customer Business Analyst","Personetics","130000","New York, NY","Applied","04/06/2026"